Timestamp,Temperature,Humidity
2023-01-01 00:00:00,25.25,58.64
2023-01-01 01:00:00,26.23,54.21
2023-01-01 02:00:00,27.84,48.79
2023-01-01 03:00:00,29.32,46.06
2023-01-01 04:00:00,29.24,45.05
2023-01-01 05:00:00,29.75,39.1
2023-01-01 06:00:00,30.83,41.96
2023-01-01 07:00:00,30.26,39.07
2023-01-01 08:00:00,29.15,40.93
2023-01-01 09:00:00,28.87,47.43
2023-01-01 10:00:00,27.34,51.77
2023-01-01 11:00:00,26.14,56.45
2023-01-01 12:00:00,25.21,57.28
2023-01-01 13:00:00,22.84,64.15
2023-01-01 14:00:00,21.74,71.55
2023-01-01 15:00:00,21.29,74.12
2023-01-01 16:00:00,20.28,75.06
2023-01-01 17:00:00,20.45,80.11
2023-01-01 18:00:00,19.68,78.44
2023-01-01 19:00:00,19.6,82.77
2023-01-01 20:00:00,21.55,80.27
2023-01-01 21:00:00,21.5,75.2
2023-01-01 22:00:00,22.69,72.56
2023-01-01 23:00:00,23.16,65.14
2023-01-02 00:00:00,24.9,61.36
2023-01-02 01:00:00,26.53,57.6
2023-01-02 02:00:00,27.11,50.3
2023-01-02 03:00:00,28.92,45.15
2023-01-02 04:00:00,29.23,39.07
2023-01-02 05:00:00,29.89,40.31
2023-01-02 06:00:00,29.91,41.43
2023-01-02 07:00:00,30.98,42.35
2023-01-02 08:00:00,29.55,43.46
2023-01-02 09:00:00,28.24,44.54
2023-01-02 10:00:00,28.16,45.8
2023-01-02 11:00:00,25.93,53.58
2023-01-02 12:00:00,25.36,59.13
2023-01-02 13:00:00,22.99,64.29
2023-01-02 14:00:00,22.11,70.96
2023-01-02 15:00:00,21.84,77.83
2023-01-02 16:00:00,21.33,77.28
2023-01-02 17:00:00,20.55,78.59
2023-01-02 18:00:00,20.24,79.18
2023-01-02 19:00:00,20.33,79.26
2023-01-02 20:00:00,20.25,75.35
2023-01-02 21:00:00,21.43,74.06
2023-01-02 22:00:00,22.6,70.57
2023-01-02 23:00:00,24.57,65.26
2023-01-03 00:00:00,25.52,60.57
2023-01-03 01:00:00,25.76,55.34
2023-01-03 02:00:00,28.02,46.1
2023-01-03 03:00:00,28.71,46.77
2023-01-03 04:00:00,29.36,40.96
2023-01-03 05:00:00,30.52,38.11
2023-01-03 06:00:00,30.9,37.4
2023-01-03 07:00:00,30.69,41.15
2023-01-03 08:00:00,29.31,41.83
2023-01-03 09:00:00,28.79,42.09
2023-01-03 10:00:00,28.08,50.54
2023-01-03 11:00:00,27.2,51.52
2023-01-03 12:00:00,25.19,59.85
2023-01-03 13:00:00,24.05,65.22
2023-01-03 14:00:00,22.39,71.33
2023-01-03 15:00:00,21.32,77.25
2023-01-03 16:00:00,21.54,74.13
2023-01-03 17:00:00,21.31,78.75
2023-01-03 18:00:00,20.44,78.97
2023-01-03 19:00:00,21.15,79.71
2023-01-03 20:00:00,21.34,77.26
2023-01-03 21:00:00,21.64,72.94
2023-01-03 22:00:00,23.18,68.62
2023-01-03 23:00:00,24.98,62.43
2023-01-04 00:00:00,25.5,61.46
2023-01-04 01:00:00,27.6,55.22
2023-01-04 02:00:00,26.72,51.31
2023-01-04 03:00:00,29.48,44.7
2023-01-04 04:00:00,29.92,40.82
2023-01-04 05:00:00,30.23,37.97
2023-01-04 06:00:00,30.61,40.16
2023-01-04 07:00:00,29.4,38.04
2023-01-04 08:00:00,29.79,45.8
2023-01-04 09:00:00,29.29,42.66
2023-01-04 10:00:00,28.83,49.96
2023-01-04 11:00:00,26.63,57.36
2023-01-04 12:00:00,25.2,60.6
2023-01-04 13:00:00,24.06,64.92
2023-01-04 14:00:00,23.57,67.45
